start,end,insns,n_callers,n_calls,ints,ports,strings
7cc9,7cf2,18,9,2,,,""
7cf2,7d72,50,1,1,,,""
7d72,7d9b,16,9,1,,,""
7d9b,7db6,12,1,0,,,""
7db6,7f8e,200,0,15,,," to move the joystick position indicator  |  below, to all squares  |  Press joystick button when complete "
7f8e,7f92,2,3,0,,,""
7f92,7fa6,11,4,0,,,""
8006,8023,13,1,1,,,""
8023,8174,116,1,0,,al, dx dx, al,"CTRL - (J)OYSTICK OR CTRL - (K)EYBOARD"
8174,81b2,31,2,0,,,""
81b2,8234,53,2,1,,,"OUT OF MEMORY LOADING %s\n"
8234,8272,28,1,1,,,"OUT OF MEMORY BUFFERS | OUT OF BUFFER MEMORY"
8272,82ab,25,1,1,,,"BUFFER NOT FOUND RELEASE ERROR"
82ab,82bf,7,1,0,,,""
82bf,82d3,7,1,0,,,""
82d3,83cd,100,0,8,,,"MBOT=%4.4x LOW=%4.4x HIGH=%4.4x MTOP=%4.4x | %-12.12s  %4.4x  %4.4x |  %4.4x  %4.4x"
83cd,83d7,3,1,0,,,""
83d7,83ec,11,1,2,,,""
83ec,8400,8,2,0,0x21,,""
8400,84aa,71,0,8,0x20 0x21,,""
84aa,854d,71,4,7,,,""
854d,85a5,42,3,1,,,""
85a5,85cb,19,4,2,,,""
85cb,8602,26,1,3,,,""
8602,8616,10,1,1,,,""
8616,8624,7,1,0,,,""
8624,866a,33,2,2,,,""
866a,87bb,128,2,1,0x21,,"herc"
87bb,87f1,27,1,3,,,""
87f1,8802,7,0,0,,,""
8802,882e,18,2,1,,,""
882e,88f4,80,2,0,0x21,,""
88f4,8945,38,7,2,,,""
8945,897c,26,1,2,,,""
897c,89b1,30,1,0,,,""
89b1,89cc,17,7,0,,,""
89cc,89f4,24,1,0,,,""
89f4,8ad6,93,3,2,,,""
8ad6,8c01,121,4,3,,,""
8c01,8c30,20,1,1,,,""
8c30,8d33,98,1,1,,,""
8d33,8dd2,57,2,0,,,""
8dd2,8e5b,58,2,2,,,""
8e5b,8f3c,105,1,2,,,""
8f3c,8f76,29,1,1,,,""
8f76,8f98,18,2,1,,,""
8f98,8fb7,20,2,1,,,""
8fb7,8fd3,15,1,1,,,""
8fd3,9046,41,0,1,0x21,,""
9046,9059,8,2,0,,,""
9059,9108,74,1,1,0x21,,";C_FILE_INFO"
9108,911f,9,1,1,,,""
911f,914b,18,2,3,0x21,,""
914b,9164,10,1,0,0x21,,""
9164,9187,20,3,1,,,""
918d,91bb,21,1,0,,,""
91bb,9223,46,3,1,,,""
9223,958c,228,2,5,,,""
958c,964e,70,0,5,,,""
964e,97c3,138,0,7,,,""
97c3,9901,130,0,7,,,""
9901,992b,18,1,2,,,""
992b,9964,25,1,3,,,""
9964,9997,22,5,2,,,""
9997,99cc,22,4,3,,,""
99cc,99f3,16,4,1,,,""
99f3,9a0e,13,1,0,,,""
9a0e,9a3e,28,2,0,,,""
9a3e,9a67,21,3,1,0x21,,"herc"
9a67,9cf7,159,3,4,,,""
9cf7,9e2c,113,0,4,,,""
9e2c,9f10,81,0,3,,,"(null) | (null)"
9f10,9fb0,52,0,3,,,""
9fb0,9ff9,30,3,2,,,""
9ff9,a05e,42,2,2,,,""
a05e,a0c9,45,3,2,,,""
a0c9,a191,75,2,7,,,""
a191,a1b0,14,1,2,,,""
a1b0,a1e3,21,1,2,,,""
a1e3,a24e,48,1,1,,,""
a24e,a276,20,1,1,,,"+- #"
a276,a32d,90,1,2,,,""
a32d,a334,4,1,0,,,""
a334,a35b,21,1,0,,,""
a35b,a3c1,57,1,1,,,""
a3c1,a3f2,28,1,0,,,""
a3f2,a417,22,1,0,,,""
a417,a44e,24,1,0,,,""
a44e,a45b,6,1,0,0x21,,""
a45b,a4c9,53,1,1,0x21,,""
a4c9,a51f,39,1,0,0x21,,""
a51f,a535,10,21,0,,,""
a535,a538,1,2,1,,,""
a538,a55a,15,2,0,,,""
a55a,a59c,29,1,0,0x21,,""
a59c,a5a6,6,1,0,,,""
a5a6,a600,40,6,0,,,""
a600,a737,157,2,0,0x21,,"herc"
a737,a73d,2,1,0,,,""
a73d,a76e,25,0,1,,,""
a76e,a811,74,3,1,,,""
a811,a83d,21,4,0,,,""
a83d,a848,6,2,0,,,""
a848,a853,6,1,0,,,""
a853,a875,14,1,1,,,""
a875,a894,13,1,1,,,""
