start,end,insns,n_callers,n_calls,ints,ports,strings
8dc7,8f61,73,2,0,0x11 0x21,,"94857102387604294775"
91cf,92a8,102,1,0,,dx, al,""
92a8,94ab,186,1,4,,,""
94ab,94c7,12,14,4,,,""
94c7,9507,26,3,1,,,""
9507,9530,18,9,2,,,""
9530,95b0,50,1,1,,,""
95b0,95d9,16,9,1,,,""
95d9,95f4,12,1,0,,,""
95f4,97cc,200,0,15,,," to move the joystick position indicator  |  below, to all squares  |  Press joystick button when complete "
97d4,981e,36,2,0,,,""
98c2,992b,49,2,0,,,""
9a01,9a05,2,3,0,,,""
9a05,9a19,11,4,0,,,""
9a69,9a86,13,1,1,,,""
9a86,9c1e,154,1,15,,,"%s FILE OPEN ERROR
 | %s FILE READ ERROR
 | PACK BUFFER ALLOCATE ERRROR | UNKNOWN PACK MODE %d
 | %x UNPACKED SIZE ERROR
"
9c1e,9c76,35,1,2,,," BACK TO DOS (Y or other key) ?  | File has an invalid decode tree
"
9c76,9c90,14,1,1,,,""
9c90,9cf9,44,1,1,,,""
9cf9,9d64,41,2,2,,,"Bad NCR unpacking state %d
"
9d64,9dd3,37,5,1,,,""
9dd3,9e1d,26,2,0,,,""
9e1d,9fa2,140,1,6,,," File packed with too many bits %d
 | Early EOF in decompress"
9fa2,a0cf,109,1,1,,,""
a0cf,a111,26,1,2,,,"DECOMP BUFFER ALLOCATE ERROR"
a111,a12f,11,1,1,,,""
a12f,a280,116,1,0,,al, dx dx, al,""
a280,a2be,31,3,0,,,""
a2be,a340,53,2,1,,,"OUT OF MEMORY LOADING %s\n"
a340,a37e,28,1,1,,,"OUT OF MEMORY BUFFERS | OUT OF BUFFER MEMORY"
a37e,a3b7,25,1,1,,,"BUFFER NOT FOUND RELEASE ERROR"
a3b7,a3cb,7,1,0,,,""
a3cb,a3df,7,1,0,,,""
a3df,a4d9,100,0,8,,,"MBOT=%4.4x LOW=%4.4x HIGH=%4.4x MTOP=%4.4x | %-12.12s  %4.4x  %4.4x |  %4.4x  %4.4x"
a4d9,a4e3,3,1,0,,,""
a4e3,a4f8,11,1,2,,,""
a4f8,a50c,8,3,0,0x21,,""
a50c,a5b6,71,0,8,0x20 0x21,,""
a5b6,a659,71,4,7,,,""
a659,a6b1,42,3,1,,,""
a6b1,a6d7,19,4,2,,,""
a6d7,a70e,26,1,3,,,""
a70e,a722,10,1,1,,,""
a722,a730,7,3,0,,,""
a730,a776,33,4,2,,,""
a776,a8c7,128,3,1,0x21,,"herc"
a8c7,a8fd,27,1,3,,,""
a8fd,a90e,7,0,0,,,""
a90e,a93a,18,2,1,,,""
a93a,aa00,80,4,0,0x21,,""
aa00,aa51,38,7,2,,,""
aa51,aa88,26,1,2,,,""
aa88,aabd,30,1,0,,,""
aabd,aad8,17,7,0,,,""
aad8,ab00,24,1,0,,,""
ab00,abe2,93,3,2,,,""
abe2,ad0d,121,4,3,,,""
ad0d,ad3c,20,1,1,,,""
ad3c,ae3f,98,1,1,,,""
ae3f,aede,57,2,0,,,""
aede,af67,58,2,2,,,""
af67,b048,105,1,2,,,""
b048,b082,29,1,1,,,""
b082,b0a4,18,2,1,,,""
b0a4,b0c3,20,2,1,,,""
b0c3,b0df,15,1,1,,,""
b0df,b152,41,0,1,0x21,,""
b152,b165,8,2,0,,,""
b165,b214,74,1,1,0x21,,";C_FILE_INFO"
b214,b22b,9,1,1,,,""
b22b,b257,18,2,3,0x21,,""
b257,b270,10,1,0,0x21,,""
b270,b293,20,3,1,,,""
b299,b2c7,21,1,0,,,""
b2c7,b32f,46,3,1,,,""
b32f,b698,228,2,5,,,""
b698,b75a,70,0,5,,,""
b75a,b8cf,138,0,7,,,""
b8cf,ba0d,130,0,7,,,""
ba0d,ba37,18,1,2,,,""
ba37,ba70,25,1,3,,,""
ba70,baa3,22,5,2,,,""
baa3,bad8,22,4,3,,,""
bad8,baff,16,4,1,,,""
baff,bb1a,13,1,0,,,""
bb1a,bb4a,28,2,0,,,""
bb4a,bb73,21,3,1,0x21,,"herc"
bb73,be03,159,3,4,,,""
be03,bf38,113,0,4,,,""
bf38,c01c,81,0,3,,,"(null) | (null)"
c01c,c0bc,52,0,3,,,""
c0bc,c105,30,3,2,,,""
c105,c16a,42,2,2,,,""
c16a,c1d5,45,3,2,,,""
c1d5,c29d,75,2,7,,,""
c29d,c2bc,14,1,2,,,""
c2bc,c2ef,21,1,2,,,""
c2ef,c35a,48,1,1,,,""
c35a,c382,20,1,1,,,"+- #"
c382,c439,90,1,2,,,""
c439,c440,4,1,0,,,""
c440,c467,21,1,0,,,""
c467,c4cd,57,1,1,,,""
c4cd,c4fe,28,1,0,,,""
c4fe,c523,22,1,0,,,""
c523,c55a,24,1,0,,,""
c55a,c567,6,1,0,0x21,,""
c567,c5d5,53,1,1,0x21,,""
c5d5,c62b,39,1,0,0x21,,""
c62b,c641,10,21,0,,,""
c641,c644,1,2,1,,,""
c644,c666,15,2,0,,,""
c666,c6a8,29,1,0,0x21,,""
c6a8,c6b2,6,1,0,,,""
c6b2,c70c,40,6,0,,,""
c70c,c843,157,2,0,0x21,,"herc"
c843,c849,2,1,0,,,""
c849,c87a,25,0,1,,,""
c87a,c91d,74,3,1,,,""
c91d,c949,21,4,0,,,""
c949,c954,6,2,0,,,""
c954,c95f,6,2,0,,,""
c95f,c981,14,1,1,,,""
c981,c9a0,13,1,1,,,""
